topic_label,negative,neutral,positive
Delicious Chinese food and service,25.0,46.0,28.999999999999996
Delicious food and friendly service.,8.173690932311622,46.61558109833972,45.21072796934866
Dining experience and atmosphere,14.058355437665782,45.88859416445623,40.05305039787798
Food quality and value,19.527896995708154,41.63090128755365,38.8412017167382
Friendly service and great drinks,20.333333333333332,42.0,37.666666666666664
Pharmacy service quality concerns,33.33333333333333,40.705128205128204,25.961538461538463
Poor service and rude staff,85.48009367681499,11.00702576112412,3.51288056206089
Positive dining experiences.,12.936046511627907,43.604651162790695,43.4593023255814
Restaurant quality and service issues,60.10362694300518,25.734024179620036,14.162348877374784
Service and order issues,78.04878048780488,15.24390243902439,6.707317073170732
